Date,Volume,Adj Close
"Nov 11, 2015",502371,42.93
"Nov 10, 2015",445973,44.21
"Nov 9, 2015",487992,43.87
"Nov 6, 2015",448133,44.29
"Nov 5, 2015",437646,45.2
"Nov 4, 2015",459307,46.32
"Nov 3, 2015",434574,47.9
"Nov 2, 2015",305518,46.14
"Oct 30, 2015",363307,46.59
"Oct 29, 2015",436513,46.06
"Oct 28, 2015",521518,45.94
"Oct 27, 2015",370825,43.2
"Oct 26, 2015",302084,43.98
"Oct 23, 2015",406577,44.6
"Oct 22, 2015",322742,45.38
"Oct 21, 2015",384288,45.2
"Oct 20, 2015",361314,45.55
"Oct 19, 2015",125840,45.89
"Oct 16, 2015",198127,47.26
"Oct 15, 2015",370940,46.38
"Oct 14, 2015",348241,46.64
"Oct 13, 2015",465388,46.66
"Oct 12, 2015",408663,47.1
"Oct 9, 2015",508680,49.63
"Oct 8, 2015",509760,49.43
"Oct 7, 2015",547488,47.81
"Oct 6, 2015",453101,48.53
"Oct 5, 2015",323061,46.26
"Oct 2, 2015",420740,45.54
"Oct 1, 2015",478979,44.74
"Sep 30, 2015",355853,45.09
"Sep 29, 2015",265176,45.23
"Sep 28, 2015",273906,44.43
"Sep 25, 2015",338622,45.7
"Sep 24, 2015",371976,44.91
"Sep 23, 2015",411957,44.48
"Sep 22, 2015",345875,45.83
"Sep 21, 2015",104528,46.68
"Sep 18, 2015",211301,44.68
"Sep 17, 2015",366390,46.9
"Sep 16, 2015",421981,47.15
"Sep 15, 2015",335953,44.59
"Sep 14, 2015",326269,44.0
"Sep 11, 2015",395838,44.63
"Sep 10, 2015",498992,45.92
"Sep 9, 2015",422735,44.15
"Sep 8, 2015",508815,45.94
"Sep 4, 2015",385631,46.05
"Sep 3, 2015",539450,46.75
"Sep 2, 2015",689301,46.25
"Sep 1, 2015",713418,45.41
"Aug 31, 2015",757503,49.2
"Aug 28, 2015",666328,45.22
"Aug 27, 2015",533682,42.56
"Aug 26, 2015",368722,38.6
"Aug 25, 2015",375650,39.31
"Aug 24, 2015",468366,38.24
"Aug 21, 2015",377181,40.45
"Aug 20, 2015",380433,41.14
"Aug 19, 2015",107578,40.8
"Aug 18, 2015",200185,42.62
"Aug 17, 2015",314275,41.87
"Aug 14, 2015",317211,42.5
"Aug 13, 2015",420146,42.23
"Aug 12, 2015",492271,43.3
"Aug 11, 2015",538005,43.08
